Title	Author	Star Rating	Review Count	Weeks on List
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	30
The Woman in the Window	A. J. Finn	4.3	6,179	1
Milk and Honey	Rupi Kaur	4.6	6,647	6
Little Fires Everywhere	Celeste Ng	4.3	4,579	12
Origin	Dan Brown	4.2	9,851	17
Ready Player One	Ernest Cline	4.6	19,096	14
Artemis	Andy Weir	N/A	2,843	8
Not Perfect	Elizabeth LaBan	3.9	1,638	1
Before We Were Yours	Lisa Wingate	4.7	10,654	25
Sing, Unburied, Sing	Jesmyn Ward	4.2	N/A	1
I Am Watching You	Teresa Driscoll	4.5	10,366	10
Twist of Faith	Ellen J. Green	4.1	2,716	1
A Wrinkle in Time	Madeleine L'Engle	4.4	3,046	1
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	20
Tips for Living	Renée Shafransky	4.3	1,988	1
The Handmaid's Tale	Margaret Atwood	4.1	15,354	28
The House at the Edge of Night	Catherine Banner	4.5	N/A	1
Dust	Patricia Cornwell	3.7	2,821	1
Pretty Girls Dancing	Kylie Brant	4.4	2,503	1
The Rooster Bar	John Grisham	3.8	5,249	13
The Woman in the Window	A. J. Finn	4.3	6,179	2
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	31
Little Fires Everywhere	Celeste Ng	4.3	4,579	13
Before We Were Yours	Lisa Wingate	4.7	10,654	26
Milk and Honey	Rupi Kaur	4.6	6,647	7
Origin	Dan Brown	4.2	9,851	18
Ready Player One	Ernest Cline	4.6	19,096	15
I Am Watching You	Teresa Driscoll	4.5	10,366	11
The Handmaid's Tale	Margaret Atwood	4.1	15,354	29
A Wrinkle in Time	Madeleine L'Engle	4.4	3,046	2
Ricochet Joe [Kindle in Motion]	Dean Koontz	3.8	1,806	1
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	21
The Wife Between Us	Greer Hendricks & Sarah Pekkanen	4.2	2,979	1
Artemis	Andy Weir	N/A	2,843	9
Pretty Girls Dancing	Kylie Brant	4.4	2,503	2
Beware the Past	Joy Ellis	4.5	1,026	1
Flowers for Algernon	Daniel Keyes	4.7	1,874	1
The Rooster Bar	John Grisham	3.8	5,249	14
Killman Creek	Rachel Caine	4.7	2,673	2
Twist of Faith	Ellen J. Green	4.1	2,716	2
The Woman in the Window	A. J. Finn	4.3	6,179	3
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	32
Little Fires Everywhere	Celeste Ng	4.3	4,579	14
Iron Gold	Pierce Brown	4.4	N/A	1
Before We Were Yours	Lisa Wingate	4.7	10,654	27
City of Endless Night	Douglas Preston, Lincoln Child	4.3	1,101	1
Ready Player One	Ernest Cline	4.6	19,096	16
The Black Book	James Patterson & David Ellis	4.6	2,145	1
I Am Watching You	Teresa Driscoll	4.5	10,366	12
Milk and Honey	Rupi Kaur	4.6	6,647	8
Origin	Dan Brown	4.2	9,851	19
The Wife Between Us	Greer Hendricks & Sarah Pekkanen	4.2	2,979	2
Sex, Not Love	Vi Keeland	4.7	N/A	1
The Handmaid's Tale	Margaret Atwood	4.1	15,354	30
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	22
Forever My Girl	Heidi McLaughlin	4.5	1,507	1
Beware the Past	Joy Ellis	4.5	1,026	2
A Wrinkle in Time	Madeleine L'Engle	4.4	3,046	3
Artemis	Andy Weir	N/A	2,843	10
Ricochet Joe [Kindle in Motion]	Dean Koontz	3.8	1,806	2
The Woman in the Window	A. J. Finn	4.3	6,179	4
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	33
Ready Player One	Ernest Cline	4.6	19,096	17
Little Fires Everywhere	Celeste Ng	4.3	4,579	15
Before We Were Yours	Lisa Wingate	4.7	10,654	28
The Wife Between Us	Greer Hendricks & Sarah Pekkanen	4.2	2,979	3
I Am Watching You	Teresa Driscoll	4.5	10,366	13
Midnight Blue	L.J. Shen	4.7	1,698	1
The Left Hand of Darkness	Ursula K. Le Guin	4.2	N/A	1
Ryan's Bed	Tijan	4.8	1,156	1
Origin	Dan Brown	4.2	9,851	20
Milk and Honey	Rupi Kaur	4.6	6,647	9
Stillhouse Lake	Rachel Caine	4.5	11,449	9
A Wrinkle in Time	Madeleine L'Engle	4.4	3,046	4
16th Seduction	James Patterson & Maxine Paetro	4.5	2,389	5
The Hobbit	J.R.R. Tolkien	4.7	9,105	2
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	23
Beware the Past	Joy Ellis	4.5	1,026	3
Artemis	Andy Weir	N/A	2,843	11
Sex, Not Love	Vi Keeland	4.7	N/A	2
Dark in Death	J. D. Robb	4.5	1,617	1
The Woman in the Window	A. J. Finn	4.3	6,179	5
Before We Were Yours	Lisa Wingate	4.7	10,654	29
Little Fires Everywhere	Celeste Ng	4.3	4,579	16
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	34
Ready Player One	Ernest Cline	4.6	19,096	18
Still Me	Jojo Moyes	4.7	1,369	1
The Wife Between Us	Greer Hendricks & Sarah Pekkanen	4.2	2,979	4
Midnight Blue	L.J. Shen	4.7	1,698	2
A Wrinkle in Time	Madeleine L'Engle	4.4	3,046	5
White Rose, Black Forest	Eoin Dempsey	4.6	4,403	1
Milk and Honey	Rupi Kaur	4.6	6,647	10
Origin	Dan Brown	4.2	9,851	21
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	24
Silent Victim	Caroline Mitchell	4.5	2,522	1
I Am Watching You	Teresa Driscoll	4.5	10,366	14
Risky Business	Nora Roberts	4.3	N/A	1
Three Wishes	Liane Moriarty	4.2	2,969	1
The Great Alone	Kristin Hannah	4.6	7,163	1
Beware the Past	Joy Ellis	4.5	1,026	4
The Great Alone	Kristin Hannah	4.6	7,163	2
An American Marriage	Tayari Jones	4.4	2,834	1
The Woman in the Window	A. J. Finn	4.3	6,179	6
The Alchemist	Paulo Coelho	4.6	12,560	1
Before We Were Yours	Lisa Wingate	4.7	10,654	30
Little Fires Everywhere	Celeste Ng	4.3	4,579	17
A Wrinkle in Time	Madeleine L'Engle	4.4	3,046	6
Ready Player One	Ernest Cline	4.6	19,096	19
White Rose, Black Forest	Eoin Dempsey	4.6	4,403	2
The Wife Between Us	Greer Hendricks & Sarah Pekkanen	4.2	2,979	5
Silent Victim	Caroline Mitchell	4.5	2,522	2
Still Me	Jojo Moyes	4.7	1,369	2
Llama Llama I Love You	Anna Dewdney	4.6	N/A	1
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	35
Dark in Death	J. D. Robb	4.5	1,617	2
Origin	Dan Brown	4.2	9,851	22
Midnight Blue	L.J. Shen	4.7	1,698	3
Milk and Honey	Rupi Kaur	4.6	6,647	11
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	25
Zero Hour	Craig Alanson	4.5	N/A	1
The Great Alone	Kristin Hannah	4.6	7,163	3
A Wrinkle in Time	Madeleine L'Engle	4.4	3,046	7
The Woman in the Window	A. J. Finn	4.3	6,179	7
An American Marriage	Tayari Jones	4.4	2,834	2
Ready Player One	Ernest Cline	4.6	19,096	20
The Dispatcher	John Scalzi	4.4	N/A	1
Before We Were Yours	Lisa Wingate	4.7	10,654	31
Little Fires Everywhere	Celeste Ng	4.3	4,579	18
Night Moves	Jonathan Kellerman	4.3	N/A	1
The Wife Between Us	Greer Hendricks & Sarah Pekkanen	4.2	2,979	6
